delay,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,1ms,0,0,0,0,500,0,1ms,0,0,0,0,500
,0,2.5ms,0,0,0,0,500,0,2.5ms,0,0,0,0,500
,0,5ms,0,0,0,0,500,0,5ms,0,0,0,0,500
,0,7.5ms,0,0,0,0,500,0,7.5ms,0,0,0,0,500
,0,10ms,0,0,0,0,500,0,10ms,0,0,0,0,500
,0,15ms,0,0,0,0,500,0,15ms,0,0,0,0,500
,0,20ms,0,0,0,0,500,0,20ms,0,0,0,0,500
,0,25ms,0,0,0,0,500,0,25ms,0,0,0,0,500
,0,30ms,0,0,0,0,500,0,30ms,0,0,0,0,500
,0,40ms,0,0,0,0,500,0,40ms,0,0,0,0,500
,0,50ms,0,0,0,0,500,0,50ms,0,0,0,0,500
,0,60ms,0,0,0,0,500,0,60ms,0,0,0,0,500
,0,80ms,0,0,0,0,500,0,80ms,0,0,0,0,500
,0,100ms,0,0,0,0,500,0,100ms,0,0,0,0,500
,0,120ms,0,0,0,0,500,0,120ms,0,0,0,0,500
,0,150ms,0,0,0,0,500,0,150ms,0,0,0,0,500
,0,190ms,0,0,0,0,500,0,190ms,0,0,0,0,500
