packetloss,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0.25,2.684ms,0,0,0,0,500,0.25,2.684ms,0,0,0,0,500
,0.5,2.684ms,0,0,0,0,500,0.5,2.684ms,0,0,0,0,500
,1,2.684ms,0,0,0,0,500,1,2.684ms,0,0,0,0,500
,1.5,2.684ms,0,0,0,0,500,1.5,2.684ms,0,0,0,0,500
,2,2.684ms,0,0,0,0,500,2,2.684ms,0,0,0,0,500
,3,2.684ms,0,0,0,0,500,3,2.684ms,0,0,0,0,500
,4,2.684ms,0,0,0,0,500,4,2.684ms,0,0,0,0,500
,5,2.684ms,0,0,0,0,500,5,2.684ms,0,0,0,0,500
,6,2.684ms,0,0,0,0,500,6,2.684ms,0,0,0,0,500
,7,2.684ms,0,0,0,0,500,7,2.684ms,0,0,0,0,500
,8,2.684ms,0,0,0,0,500,8,2.684ms,0,0,0,0,500
,9,2.684ms,0,0,0,0,500,9,2.684ms,0,0,0,0,500
,10,2.684ms,0,0,0,0,500,10,2.684ms,0,0,0,0,500
,11,2.684ms,0,0,0,0,500,11,2.684ms,0,0,0,0,500
,12,2.684ms,0,0,0,0,500,12,2.684ms,0,0,0,0,500
,13,2.684ms,0,0,0,0,500,13,2.684ms,0,0,0,0,500
,14,2.684ms,0,0,0,0,500,14,2.684ms,0,0,0,0,500
,15,2.684ms,0,0,0,0,500,15,2.684ms,0,0,0,0,500
,16,2.684ms,0,0,0,0,500,16,2.684ms,0,0,0,0,500
,17,2.684ms,0,0,0,0,500,17,2.684ms,0,0,0,0,500
,18,2.684ms,0,0,0,0,500,18,2.684ms,0,0,0,0,500
,19,2.684ms,0,0,0,0,500,19,2.684ms,0,0,0,0,500
,20,2.684ms,0,0,0,0,500,20,2.684ms,0,0,0,0,500
