reorder,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2.684ms,0,0,0,0,500,0,2.684ms,0,0,0,0,500
,0,2.684ms,0,0,0,0.25,500,0,2.684ms,0,0,0,0.25,500
,0,2.684ms,0,0,0,0.5,500,0,2.684ms,0,0,0,0.5,500
,0,2.684ms,0,0,0,1,500,0,2.684ms,0,0,0,1,500
,0,2.684ms,0,0,0,1.5,500,0,2.684ms,0,0,0,1.5,500
,0,2.684ms,0,0,0,2,500,0,2.684ms,0,0,0,2,500
,0,2.684ms,0,0,0,3,500,0,2.684ms,0,0,0,3,500
,0,2.684ms,0,0,0,4,500,0,2.684ms,0,0,0,4,500
,0,2.684ms,0,0,0,5,500,0,2.684ms,0,0,0,5,500
,0,2.684ms,0,0,0,6,500,0,2.684ms,0,0,0,6,500
,0,2.684ms,0,0,0,7,500,0,2.684ms,0,0,0,7,500
,0,2.684ms,0,0,0,8,500,0,2.684ms,0,0,0,8,500
,0,2.684ms,0,0,0,9,500,0,2.684ms,0,0,0,9,500
,0,2.684ms,0,0,0,10,500,0,2.684ms,0,0,0,10,500
,0,2.684ms,0,0,0,11,500,0,2.684ms,0,0,0,11,500
,0,2.684ms,0,0,0,12,500,0,2.684ms,0,0,0,12,500
,0,2.684ms,0,0,0,13,500,0,2.684ms,0,0,0,13,500
,0,2.684ms,0,0,0,14,500,0,2.684ms,0,0,0,14,500
,0,2.684ms,0,0,0,15,500,0,2.684ms,0,0,0,15,500
,0,2.684ms,0,0,0,16,500,0,2.684ms,0,0,0,16,500
,0,2.684ms,0,0,0,17,500,0,2.684ms,0,0,0,17,500
,0,2.684ms,0,0,0,18,500,0,2.684ms,0,0,0,18,500
,0,2.684ms,0,0,0,19,500,0,2.684ms,0,0,0,19,500
,0,2.684ms,0,0,0,20,500,0,2.684ms,0,0,0,20,500
