delay,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2ms,0,0,0,0,500,0,2ms,0,0,0,0,500
,2,2ms,0,0,0,0,500,2,2ms,0,0,0,0,500
,4,2ms,0,0,0,0,500,4,2ms,0,0,0,0,500
,6,2ms,0,0,0,0,500,6,2ms,0,0,0,0,500
,8,2ms,0,0,0,0,500,8,2ms,0,0,0,0,500
,10,2ms,0,0,0,0,500,10,2ms,0,0,0,0,500
,12.5,2ms,0,0,0,0,500,12.5,2ms,0,0,0,0,500
,15,2ms,0,0,0,0,500,15,2ms,0,0,0,0,500
,17.5,2ms,0,0,0,0,500,17.5,2ms,0,0,0,0,500
,0,5ms,0,0,0,0,500,0,5ms,0,0,0,0,500
,2,5ms,0,0,0,0,500,2,5ms,0,0,0,0,500
,4,5ms,0,0,0,0,500,4,5ms,0,0,0,0,500
,6,5ms,0,0,0,0,500,6,5ms,0,0,0,0,500
,8,5ms,0,0,0,0,500,8,5ms,0,0,0,0,500
,10,5ms,0,0,0,0,500,10,5ms,0,0,0,0,500
,12.5,5ms,0,0,0,0,500,12.5,5ms,0,0,0,0,500
,15,5ms,0,0,0,0,500,15,5ms,0,0,0,0,500
,17.5,5ms,0,0,0,0,500,17.5,5ms,0,0,0,0,500
,0,15ms,0,0,0,0,500,0,15ms,0,0,0,0,500
,2,15ms,0,0,0,0,500,2,15ms,0,0,0,0,500
,4,15ms,0,0,0,0,500,4,15ms,0,0,0,0,500
,6,15ms,0,0,0,0,500,6,15ms,0,0,0,0,500
,8,15ms,0,0,0,0,500,8,15ms,0,0,0,0,500
,10,15ms,0,0,0,0,500,10,15ms,0,0,0,0,500
,12.5,15ms,0,0,0,0,500,12.5,15ms,0,0,0,0,500
,15,15ms,0,0,0,0,500,15,15ms,0,0,0,0,500
,17.5,15ms,0,0,0,0,500,17.5,15ms,0,0,0,0,500
,0,35ms,0,0,0,0,500,0,35ms,0,0,0,0,500
,2,35ms,0,0,0,0,500,2,35ms,0,0,0,0,500
,4,35ms,0,0,0,0,500,4,35ms,0,0,0,0,500
,6,35ms,0,0,0,0,500,6,35ms,0,0,0,0,500
,8,35ms,0,0,0,0,500,8,35ms,0,0,0,0,500
,10,35ms,0,0,0,0,500,10,35ms,0,0,0,0,500
,12.5,35ms,0,0,0,0,500,12.5,35ms,0,0,0,0,500
,15,35ms,0,0,0,0,500,15,35ms,0,0,0,0,500
,17.5,35ms,0,0,0,0,500,17.5,35ms,0,0,0,0,500
,0,70ms,0,0,0,0,500,0,70ms,0,0,0,0,500
,2,70ms,0,0,0,0,500,2,70ms,0,0,0,0,500
,4,70ms,0,0,0,0,500,4,70ms,0,0,0,0,500
,6,70ms,0,0,0,0,500,6,70ms,0,0,0,0,500
,8,70ms,0,0,0,0,500,8,70ms,0,0,0,0,500
,10,70ms,0,0,0,0,500,10,70ms,0,0,0,0,500
,12.5,70ms,0,0,0,0,500,12.5,70ms,0,0,0,0,500
,15,70ms,0,0,0,0,500,15,70ms,0,0,0,0,500
,17.5,70ms,0,0,0,0,500,17.5,70ms,0,0,0,0,500
,0,120ms,0,0,0,0,500,0,120ms,0,0,0,0,500
,2,120ms,0,0,0,0,500,2,120ms,0,0,0,0,500
,4,120ms,0,0,0,0,500,4,120ms,0,0,0,0,500
,6,120ms,0,0,0,0,500,6,120ms,0,0,0,0,500
,8,120ms,0,0,0,0,500,8,120ms,0,0,0,0,500
,10,120ms,0,0,0,0,500,10,120ms,0,0,0,0,500
,12.5,120ms,0,0,0,0,500,12.5,120ms,0,0,0,0,500
,15,120ms,0,0,0,0,500,15,120ms,0,0,0,0,500
,17.5,120ms,0,0,0,0,500,17.5,120ms,0,0,0,0,500
,0,190ms,0,0,0,0,500,0,190ms,0,0,0,0,500
,2,190ms,0,0,0,0,500,2,190ms,0,0,0,0,500
,4,190ms,0,0,0,0,500,4,190ms,0,0,0,0,500
,6,190ms,0,0,0,0,500,6,190ms,0,0,0,0,500
,8,190ms,0,0,0,0,500,8,190ms,0,0,0,0,500
,10,190ms,0,0,0,0,500,10,190ms,0,0,0,0,500
,12.5,190ms,0,0,0,0,500,12.5,190ms,0,0,0,0,500
,15,190ms,0,0,0,0,500,15,190ms,0,0,0,0,500
,17.5,190ms,0,0,0,0,500,17.5,190ms,0,0,0,0,500
