jitter_delay20ms,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,20ms,0,0,0,0,500,0,20ms,0,0,0,0,500
,0,20ms,0.1ms,0,0,0,500,0,20ms,0.1ms,0,0,0,500
,0,20ms,0.25ms,0,0,0,500,0,20ms,0.25ms,0,0,0,500
,0,20ms,0.5ms,0,0,0,500,0,20ms,0.5ms,0,0,0,500
,0,20ms,0.75ms,0,0,0,500,0,20ms,0.75ms,0,0,0,500
,0,20ms,1ms,0,0,0,500,0,20ms,1ms,0,0,0,500
,0,20ms,1.5ms,0,0,0,500,0,20ms,1.5ms,0,0,0,500
,0,20ms,2ms,0,0,0,500,0,20ms,2ms,0,0,0,500
,0,20ms,2.5ms,0,0,0,500,0,20ms,2.5ms,0,0,0,500
,0,20ms,3ms,0,0,0,500,0,20ms,3ms,0,0,0,500
,0,20ms,5ms,0,0,0,500,0,20ms,5ms,0,0,0,500
,0,20ms,7ms,0,0,0,500,0,20ms,7ms,0,0,0,500
,0,20ms,9ms,0,0,0,500,0,20ms,9ms,0,0,0,500
,0,20ms,12ms,0,0,0,500,0,20ms,12ms,0,0,0,500
,0,20ms,15ms,0,0,0,500,0,20ms,15ms,0,0,0,500
,0,20ms,20ms,0,0,0,500,0,20ms,20ms,0,0,0,500
