rate_both_duplicate,srv_pkt_loss,srv_delay,srv_jitter,srv_duplicate,srv_corrupt,srv_reorder,srv_rate,cli_pkt_loss,cli_delay,cli_jitter,cli_duplicate,cli_corrupt,cli_reorder,cli_rate
,0,2.684ms,0,0,0,0,1000,0,2.684ms,0,0,0,0,1000
,0,2.684ms,0,2,0,0,1000,0,2.684ms,0,2,0,0,1000
,0,2.684ms,0,4,0,0,1000,0,2.684ms,0,4,0,0,1000
,0,2.684ms,0,6,0,0,1000,0,2.684ms,0,6,0,0,1000
,0,2.684ms,0,8,0,0,1000,0,2.684ms,0,8,0,0,1000
,0,2.684ms,0,10,0,0,1000,0,2.684ms,0,10,0,0,1000
,0,2.684ms,0,12.5,0,0,1000,0,2.684ms,0,12.5,0,0,1000
,0,2.684ms,0,15,0,0,1000,0,2.684ms,0,15,0,0,1000
,0,2.684ms,0,17.5,0,0,1000,0,2.684ms,0,17.5,0,0,1000
,0,2.684ms,0,0,0,0,250,0,2.684ms,0,0,0,0,250
,0,2.684ms,0,2,0,0,250,0,2.684ms,0,2,0,0,250
,0,2.684ms,0,4,0,0,250,0,2.684ms,0,4,0,0,250
,0,2.684ms,0,6,0,0,250,0,2.684ms,0,6,0,0,250
,0,2.684ms,0,8,0,0,250,0,2.684ms,0,8,0,0,250
,0,2.684ms,0,10,0,0,250,0,2.684ms,0,10,0,0,250
,0,2.684ms,0,12.5,0,0,250,0,2.684ms,0,12.5,0,0,250
,0,2.684ms,0,15,0,0,250,0,2.684ms,0,15,0,0,250
,0,2.684ms,0,17.5,0,0,250,0,2.684ms,0,17.5,0,0,250
,0,2.684ms,0,0,0,0,150,0,2.684ms,0,0,0,0,150
,0,2.684ms,0,2,0,0,150,0,2.684ms,0,2,0,0,150
,0,2.684ms,0,4,0,0,150,0,2.684ms,0,4,0,0,150
,0,2.684ms,0,6,0,0,150,0,2.684ms,0,6,0,0,150
,0,2.684ms,0,8,0,0,150,0,2.684ms,0,8,0,0,150
,0,2.684ms,0,10,0,0,150,0,2.684ms,0,10,0,0,150
,0,2.684ms,0,12.5,0,0,150,0,2.684ms,0,12.5,0,0,150
,0,2.684ms,0,15,0,0,150,0,2.684ms,0,15,0,0,150
,0,2.684ms,0,17.5,0,0,150,0,2.684ms,0,17.5,0,0,150
,0,2.684ms,0,0,0,0,100,0,2.684ms,0,0,0,0,100
,0,2.684ms,0,2,0,0,100,0,2.684ms,0,2,0,0,100
,0,2.684ms,0,4,0,0,100,0,2.684ms,0,4,0,0,100
,0,2.684ms,0,6,0,0,100,0,2.684ms,0,6,0,0,100
,0,2.684ms,0,8,0,0,100,0,2.684ms,0,8,0,0,100
,0,2.684ms,0,10,0,0,100,0,2.684ms,0,10,0,0,100
,0,2.684ms,0,12.5,0,0,100,0,2.684ms,0,12.5,0,0,100
,0,2.684ms,0,15,0,0,100,0,2.684ms,0,15,0,0,100
,0,2.684ms,0,17.5,0,0,100,0,2.684ms,0,17.5,0,0,100
,0,2.684ms,0,0,0,0,60,0,2.684ms,0,0,0,0,60
,0,2.684ms,0,2,0,0,60,0,2.684ms,0,2,0,0,60
,0,2.684ms,0,4,0,0,60,0,2.684ms,0,4,0,0,60
,0,2.684ms,0,6,0,0,60,0,2.684ms,0,6,0,0,60
,0,2.684ms,0,8,0,0,60,0,2.684ms,0,8,0,0,60
,0,2.684ms,0,10,0,0,60,0,2.684ms,0,10,0,0,60
,0,2.684ms,0,12.5,0,0,60,0,2.684ms,0,12.5,0,0,60
,0,2.684ms,0,15,0,0,60,0,2.684ms,0,15,0,0,60
,0,2.684ms,0,17.5,0,0,60,0,2.684ms,0,17.5,0,0,60
